"code","value"
"🚿","1,342"
"🔇","1,342"
"🎩","1,342"
"🧚🏻‍♀️","1,340"
"🧑‍🤝‍🧑","1,337"
"🍱","1,337"
"🛋️","1,333"
"🆔","1,333"
"🫤","1,331"
"🍝","1,331"
"🧘🏻","1,328"
"🟫","1,325"
"🧛","1,319"
"🙋‍♀️","1,315"
"🇼","1,315"
"🤵","1,311"
"🟨","1,307"
"👊🏻","1,306"
"⛔","1,304"
"⏩","1,301"
"🇴🇲","1,295"
"🖱️","1,294"
"👨🏻‍💻","1,291"
"🥢","1,288"
"🥑","1,285"
"🩻","1,278"
"🙀","1,278"
"🇦🇷","1,274"
"👩‍🍳","1,272"
"🔛","1,271"
