"code","value"
"👦","1,200"
"👉🏻","1,200"
"🪿","1,199"
"🎺","1,199"
"🦶","1,197"
"🥜","1,191"
"📒","1,190"
"👐","1,183"
"🌽","1,172"
"😧","1,171"
"⛺","1,167"
"🎱","1,166"
"🧮","1,164"
"👉🏽","1,163"
"🗝️","1,161"
"🇲🇾","1,161"
"🐲","1,159"
"🍚","1,159"
"🔜","1,155"
"🤧","1,154"
"👍🏼","1,151"
"🧦","1,150"
"👖","1,147"
"👇🏽","1,147"
"👏🏼","1,145"
"🐜","1,145"
"🐵","1,144"
"⛷️","1,144"
"☔","1,144"
"🛞","1,142"
"🪓","1,139"
"🇹🇷","1,138"
"🥒","1,132"
"🪔","1,131"
"👸","1,130"
"🇼🇸","1,130"
"🫟","1,129"
"🧾","1,129"
"⛽","1,128"
"🏊‍♀️","1,125"
"🧑‍🏫","1,120"
"📎","1,119"
"🇳🇱","1,116"
"🔻","1,115"
"🚐","1,114"
"📥","1,108"
"🙀","1,106"
"🩹","1,102"
"🐆","1,099"
"👩‍🍳","1,096"
"🇺🇦","1,096"
"🖋️","1,095"
"🐳","1,094"
"👯","1,089"
"📬","1,088"
"👩‍🏫","1,084"
"♂️","1,083"
"💾","1,082"
"🪃","1,079"
"🚒","1,078"
"🔦","1,077"
"🌋","1,072"
"🇱🇧","1,071"
"🚶‍♀️","1,070"
"🎷","1,058"
"💢","1,057"
"😽","1,056"
"⛅","1,054"
"👨‍💻","1,049"
"🎡","1,045"
"🪡","1,043"
"❎","1,037"
"🐤","1,036"
"🇭🇰","1,036"
"🌯","1,035"
"⛓️‍💥","1,032"
"🚓","1,031"
"👼","1,028"
"🧒","1,025"
"🏔️","1,024"
"🛹","1,022"
"🇵🇰","1,019"
"🧑","1,016"
"♨️","1,015"
"💪🏽","1,014"
"🧌","1,010"
"🧴","1,009"
"💮","1,008"
"🛻","1,006"
"🌩️","1,005"
"🦾","1,003"
"🦒","1,003"
"💒","1,001"
"🫘","1,000"
"😪","999"
"🆘","998"
"🙌🏼","996"
"🔺","994"
"🗽","993"
"🍱","993"
"🦑","991"
"🍋‍🟩","987"
"🤶","983"
"🦪","981"
"🙇","977"
"6️⃣","976"
"🐥","974"
"🪲","973"
"🚁","971"
"🎳","970"
"🧑‍🎓","966"
"🔉","966"
"🏟️","964"
"🎅🏼","961"
"🪏","960"
"🥓","959"
"🩻","958"
"🦕","957"
"🌗","952"
"🕙","949"
"🔷","948"
"🪥","946"
"🤥","946"
"♟️","946"
"🙋‍♂️","937"
"🥢","936"
"🖨️","936"
"🦗","935"
"📐","935"
"📑","933"
"⚾","933"
"🇿🇦","930"
"🔱","927"
"💟","921"
"🎢","919"
"🧽","916"
"😷","916"
"🧲","912"
"🥋","904"
"🫶🏾","902"
"🤦🏻‍♀️","902"
"🦵","897"
"🪜","896"
"🙌🏻","893"
"🧻","891"
"🇹🇴","891"
"🫥","888"
"👫","885"
"✍🏻","880"
"🤞🏻","875"
"🦞","873"
"🗂️","873"
"🪭","872"
"😾","871"
"🤲","870"
"🛟","870"
"📙","870"
"🫁","869"
"🐖","869"
"🅰️","862"
"👃","859"
