"code","value"
"🍬","110,252"
"🥊","110,093"
"🩺","109,595"
"💊","109,555"
"✝️","109,457"
"🐒","109,183"
"🦖","108,845"
"😟","108,690"
"😰","108,570"
"➕","108,568"
"💓","108,526"
"🤘","107,862"
"⚪","107,670"
"🍰","107,110"
"🏴󠁧󠁢󠁥󠁮󠁧󠁿","106,577"
"🇪🇺","106,472"
"🍉","106,110"
"🏴‍☠️","105,962"
"🍄","105,792"
"📕","105,664"
"🚌","105,079"
"🫨","104,750"
"🌌","104,522"
"🧬","104,015"
"😓","103,925"
"🪞","103,887"
"🌧️","103,414"
"🥴","103,222"
"📆","103,103"
"🌕","102,757"
"🪐","102,554"
"🍊","102,406"
"🏝️","102,298"
"🐇","102,178"
"🌠","101,973"
"🏅","101,806"
"😕","101,729"
"👥","101,204"
"🇨🇴","101,161"
"🥁","100,820"
"🪬","100,788"
"🦄","100,735"
"🗡️","99,970"
"😫","99,954"
"👊","99,909"
"😼","99,882"
"🗳️","99,656"
"🍋","99,632"
"🐔","99,568"
"🗑️","99,091"
"😻","99,020"
"⚜️","99,007"
"🧀","98,987"
"🍸","98,866"
"👕","98,776"
"🪦","98,729"
"🐦‍🔥","98,655"
"🦊","98,647"
"🕷️","98,410"
"🦷","97,912"
"🎞️","97,865"
"🇹🇭","97,861"
"💉","97,600"
"🌑","97,052"
"🔧","96,574"
"📁","96,302"
"🦴","96,137"
"🆕","96,083"
"⁉️","96,008"
"🧵","95,819"
"😚","95,422"
"🐸","95,187"
"🧩","94,996"
"👍🏻","94,722"
"🫢","94,673"
"🦌","94,276"
"🟩","94,254"
"🏍️","94,091"
"🐎","93,994"
"🍦","93,848"
"👟","93,836"
"4️⃣","93,622"
"😑","93,503"
"😶‍🌫️","93,450"
"🇨🇭","93,328"
"📩","93,240"
"🍴","92,547"
"🇮🇩","92,360"
"🇺🇦","91,780"
"⌚","91,521"
"🪨","91,052"
"🎒","90,849"
"🥩","90,671"
"🙁","90,312"
"🐧","90,182"
"🍳","89,844"
"🫶🏾","89,594"
"👤","89,514"
"🇦🇪","89,427"
"⛔","89,299"
"🐣","88,849"
"😹","88,752"
"🖌️","88,602"
"🖊️","88,544"
"📉","88,368"
"🏰","88,336"
"🚲","88,327"
"🦈","88,209"
"🚪","87,972"
"🔝","87,929"
"⬅️","87,797"
"☘️","87,673"
"❣️","87,562"
"⤵️","87,458"
"🍲","87,430"
"👮","86,645"
"🥤","86,525"
"🌀","86,461"
"🤢","86,274"
"🏛️","86,156"
"🎾","85,244"
"🍗","84,971"
"🐢","84,965"
"🧹","84,881"
"🍇","84,266"
"🇸🇪","83,944"
"📽️","83,825"
"🍅","83,727"
"🌮","83,424"
"🕸️","82,967"
"🥈","82,742"
"🧁","82,616"
"📘","82,610"
"✋","82,533"
"🇹🇼","82,380"
"🍝","82,106"
"♀️","81,840"
"👉🏻","81,781"
"🥐","81,692"
"❔","81,420"
"🇵🇪","80,507"
"⚾","80,162"
"▪️","80,038"
"🎇","79,998"
"🤏","79,966"
"🤙","79,724"
"🧱","79,613"
"👣","79,387"
"🧳","79,297"
"🍵","79,165"
"🇬🇷","78,870"
"🦉","78,853"
"🐼","78,732"
"🥗","78,629"
"🃏","78,245"
"🍭","78,121"
"😵","77,891"
"🟦","77,270"
"🏹","77,199"
"🔸","77,147"
"👩","76,883"
"🦆","76,881"
"🧭","76,502"
"🥕","75,621"
"🧟","74,735"
"😖","74,650"
"🇲🇾","74,266"
"🤦‍♀️","74,193"
"🟨","74,030"
"👪","73,849"
"🍯","73,786"
"🌏","73,763"
"💪🏻","73,760"
"🏥","73,747"
"👄","73,685"
"🇨🇱","73,194"
"🍩","73,151"
"🗽","73,085"
"🤷‍♀️","72,916"
"🤷‍♂️","72,611"
"🐚","72,509"
"🧘","72,477"
"🌅","72,403"
"🤌🏻","72,180"
"🍟","71,972"
"🍏","71,939"
"✖️","71,938"
"🍜","71,836"
"🚢","71,833"
