"code","value"
"🐆","2,190"
"🏴󠁧󠁢󠁳󠁣󠁴󠁿","2,182"
"🧨","2,173"
"🧑‍🎓","2,167"
"🪑","2,165"
"🛥️","2,162"
"🦜","2,155"
"💪🏻","2,155"
"🎩","2,155"
"🛸","2,154"
"♿","2,149"
"🐊","2,144"
"🐧","2,143"
"🛎️","2,141"
"🗨️","2,135"
"☔","2,135"
"🇸🇳","2,132"
"🤳","2,123"
"🏨","2,123"
"🦉","2,121"
"🌵","2,120"
"👊","2,112"
"😑","2,103"
"👴","2,100"
"👆","2,099"
"🤷‍♀️","2,092"
"🍦","2,092"
"🌪️","2,090"
"🕸️","2,086"
"📐","2,081"
"🍏","2,075"
"🦦","2,073"
"👩‍⚕️","2,073"
"🪫","2,070"
"😚","2,067"
"🇨🇩","2,065"
"😫","2,064"
"♠️","2,056"
"🤢","2,054"
"🌏","2,054"
"🕶️","2,050"
"🤦","2,048"
"©️","2,045"
"🇨🇮","2,042"
"🎪","2,038"
"🍳","2,034"
"6️⃣","2,031"
"🍜","2,029"
"👍🏻","2,016"
"🐘","2,013"
"🤐","2,010"
"🎗️","2,008"
"📬","2,006"
"👧","2,004"
"🔱","2,003"
"🙁","2,001"
"🤷‍♂️","2,000"
"🕰️","2,000"
"🌔","1,993"
"🎇","1,989"
"🪭","1,972"
"📡","1,970"
"🍭","1,954"
"🇷🇴","1,946"
"🐮","1,945"
"🎢","1,936"
"🚑","1,935"
"🚶","1,931"
"🥔","1,930"
"⛪","1,930"
"🤰","1,926"
"🇨🇿","1,925"
"🧺","1,924"
"🏕️","1,917"
"🥨","1,910"
"🪓","1,909"
"🧮","1,887"
"🐚","1,869"
"🪂","1,865"
"🤿","1,864"
"🎻","1,861"
"⚒️","1,846"
"🛟","1,840"
"🖱️","1,838"
"🧢","1,835"
"♟️","1,831"
"😶","1,825"
"🌘","1,821"
"↗️","1,813"
"🍞","1,810"
"🎺","1,808"
"🦶","1,807"
"🛰️","1,792"
"🇫🇮","1,790"
"🩰","1,787"
"👁️‍🗨️","1,787"
"🛞","1,785"
"🐓","1,782"
"🇭🇺","1,781"
"💪🏼","1,780"
"🥦","1,779"
"👨‍⚕️","1,776"
"👋🏻","1,773"
"🧃","1,770"
"🎷","1,770"
"👺","1,766"
"🧙","1,765"
"🧑‍🤝‍🧑","1,763"
"🥥","1,761"
"⚰️","1,759"
"🫐","1,754"
"🧶","1,751"
"🌬️","1,750"
"♥️","1,747"
"😹","1,744"
"🧚‍♀️","1,743"
"📙","1,742"
"☘️","1,740"
"🐿️","1,739"
"🏞️","1,736"
"🎑","1,735"
"👙","1,728"
"🇪🇬","1,721"
"🐬","1,718"
