"code","value"
"🏃‍♀️","244"
"🪑","242"
"🐳","242"
"🌪️","242"
"✊","242"
"🖋️","241"
"🕵️","241"
"🏐","241"
"🇰🇵","241"
"🧮","240"
"🦑","240"
"🛞","240"
"🛟","239"
"📓","238"
"🆙","238"
"🗝️","237"
"📥","237"
"🏃‍♂️","237"
"🤦🏻‍♀️","236"
"⛅","236"
"👙","235"
"✒️","235"
"🪓","234"
"🧛","234"
"🪟","233"
"🧑‍⚕️","233"
"🦜","233"
"🫰🏻","232"
"🪸","232"
"🤕","232"
"🦦","231"
"🔬","231"
"🐖","231"
"🧑‍🏫","230"
"🚃","230"
"🍥","230"
"⏸️","230"
"🇧🇩","229"
"9️⃣","229"
"⌨️","228"
"🇿🇦","227"
"🥟","226"
"💟","226"
"🐥","226"
"🐊","226"
"🍍","226"
"🔻","225"
"🔓","225"
"❇️","225"
"🥗","224"
"🏦","224"
"🏕️","224"
"🍠","224"
"🇵🇰","224"
"👔","223"
"🐴","222"
"🍼","222"
"🪫","221"
"🚂","221"
"🖱️","221"
"🥢","220"
"🤒","220"
"🍮","220"
"🅰️","220"
"🧼","219"
"💹","219"
"👦","219"
"🌬️","219"
"0️⃣","219"
"👼🏻","218"
"👩‍💻","218"
"👊🏻","218"
"👁️‍🗨️","218"
"🪲","217"
"🇪","217"
"⛏️","217"
"🧰","216"
"🥘","216"
"🛰️","216"
"🚄","216"
"🕰️","216"
"🪬","215"
"🇵🇹","215"
"⛓️","215"
"🧚","214"
"🤷‍♀️","214"
"🟧","214"
"👇🏻","214"
"🤦‍♀️","212"
"🖐️","211"
"🌵","211"
"🥧","210"
"📗","210"
"🧑‍🤝‍🧑","208"
"🥔","208"
"🦾","207"
"🥪","207"
"🎴","207"
"🪔","206"
"🪈","206"
"🔷","206"
"👩🏻","205"
"🦟","204"
"🟪","204"
"🐚","204"
"🇫🇮","204"
"⛳","204"
"♦️","204"
"🌡️","203"
"🪖","202"
"🏴󠁧󠁢󠁳󠁣󠁴󠁿","202"
"🎎","202"
"🍈","202"
"🦔","201"
"🗂️","201"
"🧺","200"
"😧","200"
"👜","200"
"🐞","200"
"🏍️","200"
"🩺","199"
"🛎️","199"
"⛷️","199"
"🥖","198"
"🥃","198"
"😾","198"
"📎","198"
"🎖️","198"
"🌭","198"
"🏋️","197"
"🎡","197"
"🇲🇲","197"
"🔐","196"
"📨","195"
"🏵️","195"
"🏗️","195"
"🌆","195"
"🪊","194"
"🧙","194"
"🦃","194"
"🙆‍♂️","194"
"🇮🇪","194"
"⤵️","194"
"⚕️","193"
"🪃","192"
"🙅","192"
"🌽","192"
"🆓","192"
"🀄","192"
"🩰","191"
"🦞","191"
"🦝","191"
"🏳️","191"
"🏂","191"
"🏪","190"
"🧃","189"
"💄","189"
"👧🏻","189"
"🥑","188"
"↗️","188"
"🧘","187"
"✴️","187"
"🫴","186"
"🐅","186"
"🧢","185"
"🦎","185"
