"code","value"
"🪱","2,412"
"🇸🇦","2,410"
"🧑‍💼","2,407"
"🎡","2,403"
"👺","2,401"
"❎","2,400"
"💢","2,399"
"🇸🇬","2,397"
"✍🏻","2,397"
"♟️","2,392"
"🪜","2,387"
"🫶🏾","2,380"
"🌽","2,378"
"⚕️","2,365"
"🤰","2,360"
"🦎","2,358"
"🔛","2,357"
"🧒","2,331"
"🤥","2,326"
"🤝🏻","2,323"
"🦶","2,321"
"🔻","2,306"
"⛓️‍💥","2,306"
"🐥","2,302"
"🪲","2,301"
"🗂️","2,301"
"🏔️","2,299"
"🍖","2,298"
"🧴","2,296"
"🌚","2,295"
"🐊","2,293"
"🦒","2,292"
"🥜","2,290"
"🇭🇷","2,289"
"♦️","2,289"
"❇️","2,285"
"🏊‍♀️","2,280"
"🇹🇼","2,280"
"🛝","2,279"
"👖","2,279"
"🇦🇱","2,278"
"🥓","2,276"
"⌨️","2,271"
"👦","2,253"
"👰","2,245"
"🦕","2,244"
"🚙","2,235"
"🎳","2,227"
"🆚","2,217"
"🪿","2,210"
"💮","2,206"
"🚒","2,197"
"👩‍🏫","2,195"
"⏸️","2,194"
"👼","2,188"
"🐤","2,187"
"🥋","2,182"
"🐅","2,182"
"🔽","2,163"
"🔭","2,160"
"🇧🇩","2,153"
"📑","2,152"
"🌨️","2,148"
"😿","2,142"
"💃🏻","2,141"
"🧌","2,137"
"🆓","2,136"
"🩹","2,135"
"📮","2,135"
"🤶","2,125"
"🪂","2,115"
"⛸️","2,106"
"🇨🇴","2,104"
"😸","2,102"
"👫","2,102"
"7️⃣","2,100"
"⛈️","2,096"
"🧣","2,087"
"🦐","2,078"
"🏺","2,067"
"👏🏼","2,062"
"👩‍🍳","2,060"
"📼","2,051"
"🐨","2,026"
"🙋‍♂️","2,025"
"📬","2,019"
"📐","2,011"
"🏪","2,009"
"🙌🏼","1,998"
"🔷","1,993"
"🦑","1,989"
